,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
229,Calvin Austin,PIT,WR,214.96,250.60,170.32,212.52,251.47,219.10,250.80,255.80,0.91,0.01,Ques,Abdomen
230,Adonai Mitchell,IND,WR,216.65,251.70,170.42,183.22,261.96,254.60,183.70,191.20,,0.02,,
231,DJ Giddens,IND,RB,186.20,252.00,170.48,65.07,225.82,209.60,177.50,185.70,2.16,0.01,,
232,Jaylin Noel,HOU,WR,188.94,253.90,170.16,51.84,227.08,204.40,146.20,155.80,4.32,0.01,,
233,Brashard Smith,KC,RB,207.32,254.30,170.10,77.93,221.50,223.70,207.20,212.70,2.99,0.01,,
234,Jalen Coker,CAR,WR,196.42,255.30,170.15,209.50,242.14,207.70,183.60,183.80,1.76,0.00,Ques,Illness
235,Ja'Tavion Sanders,CAR,TE,220.25,255.40,169.89,187.94,244.83,196.30,217.80,189.40,0.99,0.01,,
236,Dyami Brown,JAX,WR,215.21,257.90,170.45,-,244.14,246.50,279.50,263.50,1.11,0.01,,
237,Amari Cooper,FA,WR,223.56,258.30,170.29,-,233.95,262.70,254.50,250.60,1.92,0.01,,
238,Russell Wilson,NYG,QB,194.28,259.50,169.80,144.96,206.88,159.10,351.50,175.20,4.44,0.08,,
239,Terrance Ferguson,LAR,TE,267.41,260.20,169.95,52.17,269.04,206.90,164.00,160.00,2.61,0.00,Ques,Groin
240,Devin Neal,NO,RB,259.37,261.90,170.19,65.50,228.11,199.60,149.90,167.40,1.67,0.00,Ques,Hamstring
241,Michael Wilson,ARI,WR,216.81,262.20,171.06,185.23,229.80,212.20,252.40,239.80,1.39,0.06,,
242,Theo Johnson,NYG,TE,231.29,263.20,169.99,203.52,249.31,205.30,253.60,204.70,,0.01,,
243,MarShawn Lloyd,GB,RB,212.75,263.80,170.96,196.93,211.79,220.20,213.70,199.60,2.32,0.08,Ques,Hamstring
244,Darius Slayton,NYG,WR,219.42,265.70,170.79,216.81,248.64,251.90,286.10,276.80,0.86,0.02,,
245,Roman Wilson,PIT,WR,498.68,266.40,169.92,194.25,265.13,257.90,218.70,213.40,,0.01,,
246,Juwan Johnson,NO,TE,217.31,267.50,170.04,208.18,238.25,210.80,321.90,260.50,1.59,0.00,,
247,Jordan James,SF,RB,236.81,268.50,170.12,70.65,257.82,225.80,186.80,196.50,1.33,0.01,Ques,Finger
248,Mitchell Wilcox,FA,TE,-,270.00,169.99,-,-,-,-,-,,,,
249,Jahmal Banks,BAL,WR,-,271.50,-,-,-,-,-,-,,,,
250,Freddie Stevenson,FA,FB,-,272.00,-,-,-,-,-,-,,,,
251,Praise Olatoke,FA,WR,-,273.00,-,-,-,466.20,-,-,,,,
252,Luke Falk,FA,QB,-,274.00,-,-,-,-,-,-,,,,
253,Cyrus Holder,FA,WR,-,275.50,-,-,-,-,-,-,,,,
254,Mark Walton,FA,RB,-,277.00,-,-,-,-,-,-,,,,
255,Dan Arnold,FA,TE,-,278.00,-,-,-,-,-,-,,,,
256,Justin Rigg,FA,TE,-,279.00,-,-,-,-,-,-,,,,
257,Corey Willis,FA,WR,-,280.00,-,-,-,-,-,-,,,,
258,Rushel Shell,FA,RB,-,282.00,-,-,-,-,-,-,,,,
259,Daryl Virgies,FA,RB,-,283.00,-,-,-,-,-,-,,,,
260,Dan Chisena,FA,WR,-,284.00,170.00,-,-,-,-,-,,,Ques,Calf
261,Lance Lenoir,FA,WR,-,286.50,-,-,-,-,-,-,,,,
262,Marshall Lang,SEA,TE,-,287.00,-,-,-,-,-,-,,,,
263,Kole Taylor,FA,TE,-,288.00,-,-,-,-,-,-,,,,
264,Jeff Thomas,FA,WR,-,289.00,-,-,-,-,-,-,,,,
265,Ventell Bryant,FA,WR,-,293.00,-,-,-,-,385.00,-,,,,
266,Jaxon Janke,FA,WR,-,294.00,-,-,-,-,375.00,-,,,,
267,Easton Dean,FA,TE,-,295.00,-,-,-,-,-,-,,,,
268,Eli Wilson,FA,FB,-,296.00,-,-,-,-,-,-,,,,
269,Hayden Rucci,MIA,TE,-,299.50,-,-,-,-,-,-,,,,
270,Kaare Vedvik,FA,K,-,300.00,-,-,-,-,525.00,693.80,,,,
271,Auden Tate,FA,WR,-,301.00,-,-,-,-,-,-,,,,
272,Lorenzo Lingard,FA,RB,-,302.80,-,-,-,-,-,-,,,,
273,Lincoln Sefcik,FA,TE,-,303.00,-,-,-,-,-,-,,,,
274,Charles Jones,FA,TE,-,304.00,-,-,-,-,-,-,,,,
275,Michael Colubiale,FA,TE,-,305.00,-,-,-,-,-,-,,,,
276,Anthony Dable,FA,WR,-,306.00,-,-,-,-,-,435.00,,,,
277,Brett Hundley,FA,QB,-,307.00,-,-,-,-,415.00,-,,,,
278,Javian Hawkins,FA,RB,-,309.00,-,-,-,-,-,-,,,,
279,Chris Moore,WAS,WR,-,310.00,169.99,-,-,-,-,-,,,,
280,Aleva Hifo,FA,WR,-,311.00,-,-,-,-,-,-,,,,
281,Jonathan Adams,FA,WR,-,312.00,-,-,-,-,-,-,,,,
282,Alex Quevedo,FA,K,-,313.00,-,-,-,-,-,-,,,,
283,David Marvin,FA,K,-,314.00,-,-,-,-,-,-,,,,
284,Bruce Miller,FA,FB,-,315.00,-,-,-,-,-,-,,,,
285,Ramon Jefferson,FA,RB,-,316.20,-,-,-,-,-,-,,,,
286,Tim Jones,MIN,WR,-,317.00,169.97,-,-,-,-,-,,0.00,,
287,KJ Hill,FA,WR,-,318.00,-,-,-,-,-,658.00,,,,
288,Brayden Lenius,FA,TE,-,319.00,-,-,-,-,-,-,,,,
289,Bryan Bennett,FA,QB,-,319.50,-,-,-,-,-,-,,,,
290,Austin Stogner,FA,TE,-,321.30,-,-,-,-,-,-,,,,
291,Michael Badgley,FA,K,-,323.00,169.96,-,-,-,566.50,633.70,,,,
292,Tru Edwards,LAR,WR,-,324.00,-,-,-,-,-,-,,,,
293,Cam Grandy,CIN,TE,-,325.20,169.99,-,-,-,-,-,,,,
294,Tyler Kahmann,IND,WR,-,326.70,-,-,-,-,-,-,,,,
295,Trevor Moore,FA,K,-,327.30,-,-,-,-,530.50,614.60,,,,
296,Parker Hesse,FA,TE,-,328.00,170.00,-,-,-,-,-,,,,
297,Marquise Williams,FA,QB,-,329.00,-,-,-,-,-,-,,,,
298,Zach D'Orazio,FA,WR,-,330.00,-,-,-,-,-,-,,,,
299,Mitch Leidner,FA,QB,-,331.50,-,-,-,-,-,505.60,,,,
300,Austin Seibert,FA,K,-,332.00,169.98,-,-,467.70,-,-,,,Ques,Groin
301,Kyle Shurmur,FA,QB,-,333.20,-,-,-,-,-,-,,,,
302,TJ Jones,FA,WR,-,334.00,-,-,-,-,-,-,,,,
303,Scott Orndoff,FA,TE,-,335.00,-,-,-,460.10,-,473.30,,,,
304,Alec Bloom,FA,TE,-,336.00,-,-,-,-,-,-,,,,
305,Khalil Tate,FA,WR,-,337.00,-,-,-,-,-,611.50,,,,
306,Tony Brown,FA,WR,-,338.00,169.99,-,-,-,-,-,,,,
307,Manny Wilkins,FA,QB,-,339.50,-,-,-,-,-,-,,,,
308,Richard Rodgers,FA,TE,-,340.50,-,-,-,-,507.30,-,,,Ques,Knee
309,Isaiah Washington,FA,WR,-,341.40,-,-,-,-,-,447.50,,,Ques,Undisclosed
310,Kevin Hogan,FA,QB,-,342.90,-,-,-,-,-,532.90,,,,
311,Algernon Brown,FA,FB,-,343.00,-,-,-,-,-,-,,,,
312,Aldrick Rosas,FA,K,-,343.50,-,-,-,-,593.50,-,,,Ques,Undisclosed
313,Devin Carter,FA,WR,-,345.90,-,-,-,-,601.30,-,,,Ques,Undisclosed
314,Redford Jones,FA,K,-,346.40,-,-,-,-,-,-,,,,
315,David Wallis,FA,WR,-,347.00,-,-,-,-,-,-,,,,
316,Aidan Robbins,FA,RB,-,348.80,-,-,-,362.00,-,-,,,,
317,D'Eriq King,FA,QB,-,349.20,-,-,-,-,656.00,-,,,,
318,Mike Bercovici,FA,QB,-,350.80,-,-,-,-,-,-,,,,
319,Lamar Jordan,FA,WR,-,351.20,-,-,-,-,-,-,,,,
320,Lawrence Keys,FA,WR,-,351.50,-,-,-,-,-,-,,,Ques,Leg
321,Derrius Guice,FA,RB,-,353.20,-,-,-,-,-,-,,,,
322,Andy Janovich,FA,FB,-,354.50,-,-,-,-,-,-,,,,
323,Ko Kieft,TB,TE,-,355.00,169.99,-,-,-,-,-,,0.01,,
324,Tristan Vizcaino,FA,K,-,356.30,-,-,-,-,627.00,660.40,,,,
325,Rico Gafford,FA,CB,-,357.00,-,-,-,-,-,-,,,,
326,Jerod Evans,FA,QB,-,358.00,-,-,-,-,-,527.90,,,,
327,Nate Noel,IND,RB,-,359.30,-,-,-,-,380.00,-,,,,
328,Sam Pitz,FA,TE,-,360.00,-,-,-,-,-,-,,,,
329,Tyler Harrell,FA,WR,-,361.20,-,-,-,-,542.30,-,,,,
330,Kye Robichaux,DET,RB,-,362.10,-,-,-,459.50,-,-,,,IR,Undisclosed
331,Jalen White,GB,RB,-,363.10,-,-,-,-,-,-,,,IR,Foot
332,Ronald Jones,FA,RB,-,364.00,-,-,-,-,-,-,,,,
333,Jerry Lovelocke,FA,QB,-,365.10,-,-,-,-,-,-,,,,
334,Des Lawrence,FA,CB,-,366.50,-,-,-,-,-,-,,,,
335,Deshaun Fenwick,FA,RB,-,367.80,-,-,-,-,-,-,,,,
336,Kylin Hill,FA,RB,-,367.90,-,-,-,-,-,-,,,,
337,Marcus Riley,FA,WR,-,369.00,-,-,-,-,-,-,,,Ques,Undisclosed
338,D.J. Williams,FA,RB,-,370.40,169.96,-,-,-,-,-,,,Ques,Undisclosed
339,Riley Ridley,FA,WR,-,371.00,-,-,-,-,-,-,,,,
340,Ben Bryant,FA,QB,-,372.70,-,-,-,-,-,-,,,,
341,Brandon Polk,FA,WR,-,373.30,-,-,-,-,-,-,,,,
342,C.J. Board,FA,WR,-,374.80,-,-,-,-,-,-,,,Ques,Ribs
343,Micah Wright,FA,WR,-,375.20,-,-,-,-,-,-,,,,
344,Devin Leary,BAL,QB,-,377.00,169.99,-,-,495.10,491.00,-,,,,
345,Joseph Scates,FA,WR,-,378.50,-,-,-,-,-,-,,,,
346,Lawrance Toafili,NYJ,RB,-,379.30,-,-,-,-,-,471.30,,,,
347,Jaaron Hayek,FA,WR,-,380.20,-,-,-,-,-,-,,,,
348,Josh Woodrum,FA,QB,-,382.30,-,-,-,-,-,-,,,,
349,Chris Manhertz,NYG,TE,-,383.50,169.99,-,-,-,-,-,,,Ques,Undisclosed
350,Nelson Agholor,FA,WR,-,384.00,169.99,-,241.15,-,-,-,,,,
351,Gary Jennings,FA,WR,-,385.70,-,-,-,-,-,-,,,,
352,Justin Stockton,FA,RB,-,386.00,-,-,-,-,-,-,,,,
353,Jamaal Jones,FA,WR,-,388.60,-,-,-,-,-,-,,,,
354,Quincy Skinner,ATL,WR,-,389.10,-,-,-,-,-,-,,,,
355,Willie Johnson,FA,WR,-,390.00,-,-,-,-,-,-,,,Ques,Undisclosed
356,C.J. Dippre,NE,TE,-,393.50,-,-,-,-,-,-,,,,
357,Javess Blue,FA,WR,-,394.50,-,-,-,-,-,-,,,,
358,Josh Johnson,WAS,QB,-,395.30,169.98,-,-,-,398.50,-,,,,
359,Jonathan Garibay,FA,K,-,397.50,169.98,-,-,-,395.00,-,,0.00,,
360,Tavien Feaster,FA,RB,-,398.50,-,-,-,-,-,466.50,,,,
361,Matthew Trickett,FA,K,-,399.10,-,-,-,-,500.50,661.50,,,,
362,Julian Hicks,GB,WR,-,400.00,-,-,-,-,-,-,,,,
363,Emory Jones,FA,QB,-,401.80,-,-,-,516.30,-,-,,,Ques,Concussion
364,Oliver Martin,FA,WR,-,402.80,-,-,-,633.60,687.90,-,,,,
365,Thomas Yassmin,LAC,TE,-,403.50,-,-,-,-,-,-,,,,
366,Taylor Grimes,FA,WR,-,405.00,-,-,-,-,-,-,,,,
367,Will Ratelle,FA,FB,-,407.30,-,-,-,-,-,-,,,,
368,Matt Moore,FA,QB,-,407.50,-,-,-,603.80,-,665.80,,,,
369,Jacob Huesman,FA,RB,-,410.30,-,-,-,-,-,-,,,,
370,Chase Edmonds,FA,RB,-,411.80,169.99,-,-,-,-,-,,,,
371,Pat Conroy,FA,TE,-,412.00,-,-,-,-,-,-,,,,
372,Travis Fulgham,FA,WR,-,413.80,-,-,-,-,-,-,,,,
373,Kade Warner,FA,WR,-,414.20,-,-,-,-,-,-,,,,
374,Tyler Davis,FA,K,-,415.30,-,-,-,-,527.50,-,,,,
375,Robert Lewis,MIN,WR,-,417.20,-,-,-,406.50,-,-,,,,
376,Tommy Stevens,FA,QB,-,418.80,-,-,-,617.40,-,-,,,,
377,Gabe Brkic,FA,K,-,419.00,-,-,-,-,-,-,,,,
378,Sam Sloman,FA,K,-,421.30,-,-,-,-,-,593.10,,,,
379,Mike Rigerman,FA,TE,-,422.50,-,-,-,-,-,-,,,,
380,C.J. Beathard,FA,QB,-,423.20,169.99,-,-,-,518.50,-,,0.03,,
381,Kaylon Geiger,FA,WR,-,423.50,170.00,-,-,-,-,-,,,,
382,James Turner,FA,K,-,425.40,-,-,-,423.20,615.00,607.90,,,,
383,Charles Clay,FA,TE,-,426.70,-,-,-,-,-,-,,,,
384,Dillon Stoner,FA,WR,-,428.10,-,-,-,361.00,-,-,,,,
385,Latavius Murray,FA,RB,-,429.50,169.99,-,-,-,-,647.50,,0.00,,
386,Rodney Adams,FA,WR,-,430.00,-,-,-,-,-,-,,,,
387,DeAngelo Yancey,FA,WR,-,431.50,-,-,-,-,-,-,,,,
388,Dan Bailey,FA,K,-,433.20,-,-,-,-,-,626.20,,,,
389,Tim Wilson,FA,WR,-,435.90,-,-,-,-,-,-,,,,
390,Giovanni Ricci,MIN,TE,-,436.00,169.99,-,-,658.00,-,-,,0.00,,
391,Wendell Smallwood,FA,RB,-,437.10,-,-,-,470.80,-,698.00,,,,
392,Anthony Torres,LAR,TE,-,438.20,-,-,-,-,-,-,,,IR,Ankle
393,Brennan Presley,LAR,WR,-,439.50,-,-,-,-,-,-,,,,
394,Jahdae Walker,CHI,WR,-,440.00,-,-,-,-,-,-,,,,
395,Je'Quan Burton,FA,WR,-,441.30,-,-,-,-,-,-,,,,
396,Quinn Nordin,FA,K,-,443.40,-,-,-,-,474.00,-,,,Ques,Undisclosed
397,Sefo Liufau,FA,QB,-,444.50,-,-,-,-,463.50,-,,,,
398,Chandler Brayboy,JAX,WR,-,445.30,169.99,-,-,-,-,-,,0.00,,
399,Amari Rodgers,FA,WR,-,446.60,169.99,-,-,-,-,548.80,,,,
400,Matt Barkley,FA,QB,-,447.00,169.90,-,-,498.50,515.30,-,,0.00,,
401,Jermar Jefferson,TEN,RB,-,447.90,169.70,-,-,-,-,-,,0.01,,
402,Gavin Holmes,FA,WR,-,449.20,-,-,-,-,-,-,,,,
403,Jeshaun Jones,MIN,WR,-,450.80,-,-,-,-,-,-,,,,
404,Jared Cook,FA,TE,-,451.00,-,-,-,-,-,-,,,,
405,Jelani Baker,FA,WR,-,452.00,-,-,-,-,-,-,,,,
406,Nick Kallerup,SEA,TE,-,453.20,-,-,-,-,-,-,,,,
407,Bryson Nesbit,MIN,TE,-,454.50,-,-,-,-,-,-,,,,
408,Brandon Wright,FA,P,-,455.40,-,-,-,-,430.00,631.70,,,,
409,Garrett Gilbert,FA,QB,-,455.50,-,-,-,435.70,-,-,,,,
410,Hakeem Butler,FA,WR,-,457.80,-,-,-,403.00,-,-,,,,
411,Rakeem Boyd,FA,RB,-,459.70,-,-,-,-,-,-,,,,
412,Emmanuel Butler,FA,WR,-,460.00,-,-,-,-,-,-,,,,
413,Albert Wilson,FA,WR,-,461.00,-,-,-,-,639.40,540.30,,,,
414,Mac Dalena,KC,WR,-,462.20,-,-,-,-,-,-,,,,
415,David Sills,ATL,WR,-,463.70,170.00,-,-,502.70,-,-,,,,
416,Cole Hedlund,FA,K,-,465.70,-,-,-,-,-,583.70,,,,
417,Tucker McCann,FA,K,-,466.30,-,-,-,-,-,-,,,,
418,Neal Johnson,NYJ,TE,-,467.40,-,-,-,-,-,-,,,,
419,De'Mard Llorens,FA,RB,-,468.50,-,-,-,-,-,-,,,,
420,Andre Szmyt,CLE,K,-,469.80,-,-,-,407.20,481.00,650.40,,,,
421,Dee Eskridge,MIA,WR,-,470.00,169.98,-,-,490.00,-,-,,0.00,,
422,Anthony Boone,FA,QB,-,471.10,-,-,-,-,454.50,476.00,,,,
423,Travon McMillian,FA,RB,-,471.50,-,-,-,-,-,-,,,,
424,Quentin Skinner,NYJ,WR,-,473.80,-,-,-,-,-,-,,,,
425,Bryan Thompson,FA,WR,-,475.30,-,-,-,-,-,-,,,,
426,Keytaon Thompson,FA,WR,-,476.80,-,-,-,622.50,-,585.30,,,,
427,Taylor Heinicke,LAC,QB,-,477.30,169.98,-,242.45,-,-,-,,,,
428,Jakobie Keeney-James,DET,WR,-,478.70,-,-,-,-,-,-,,,,
429,Ross Martin,FA,K,-,479.10,-,-,-,-,-,-,,,,
430,Josh Williams,TB,RB,-,479.80,-,-,-,-,-,-,,,,
431,Nate Sudfeld,FA,QB,-,481.20,-,-,-,-,411.00,-,,,,
432,Daewood Davis,FA,WR,-,482.00,-,-,-,-,-,-,,,Ques,Thigh
433,Isaiah Spiller,FA,RB,-,483.30,170.00,-,-,-,-,-,,,,
434,Mason Tipton,NO,WR,-,484.60,169.99,-,-,-,-,-,,0.00,,
435,Logan Woodside,PIT,QB,-,486.20,169.99,-,-,355.00,-,-,,,,
T436,Brian Hill,FA,RB,-,487.50,-,-,-,-,-,-,,,,
T436,Alonzo Moore,FA,WR,-,487.50,-,-,-,-,-,-,,,,
438,Malik Henry,FA,WR,-,489.10,-,-,-,-,620.50,509.90,,,,
439,Darrius Shepherd,FA,WR,-,491.50,-,-,-,-,-,-,,,Ques,Undisclosed
440,British Brooks,HOU,RB,-,493.80,169.99,-,-,-,-,-,,0.00,,
441,Cortrelle Simpson,FA,WR,-,494.20,-,-,-,-,-,-,,,,
442,Calvin Tyler,FA,RB,-,495.30,-,-,-,-,388.00,-,,,,
443,Josh Love,FA,QB,-,495.40,-,-,-,-,681.30,-,,,,
444,Darrell Henderson,FA,RB,-,497.80,169.96,-,-,-,484.80,-,,,,
445,Royce Freeman,FA,RB,-,498.00,169.99,-,-,-,-,-,,0.00,,
446,Cole Burgess,CIN,WR,-,499.00,-,-,-,-,-,-,,,,
447,Kalil Pimpleton,FA,WR,-,501.40,-,-,-,371.00,-,-,,,,
448,ZaQuandre White,FA,RB,-,502.70,-,-,-,-,654.00,629.80,,,,
449,Cole Stoudt,FA,QB,-,503.40,-,-,-,-,-,-,,,,
450,Jared Rice,FA,TE,-,503.50,-,-,-,-,-,-,,,,
451,Brandon Williams,FA,CB,-,505.50,-,-,-,-,-,-,,,,
452,Rashod Owens,CIN,WR,-,506.20,-,-,-,-,-,605.30,,,,
453,Joel Wilson,CHI,TE,-,508.50,-,-,-,-,649.70,-,,,,
454,C.J. Duncan,FA,WR,-,509.80,-,-,-,-,-,-,,,,
455,Isaiah Williams,CIN,WR,"1,179.60",510.40,169.99,-,-,-,-,-,,,,
456,Qadir Ismail,LV,TE,-,511.50,-,-,-,-,-,-,,,,
457,Jeremy Cox,FA,FB,-,511.90,-,-,-,-,-,-,,,,
458,Ryan Santoso,FA,K,-,513.00,-,-,-,-,513.50,-,,,,
459,Blake Haubeil,FA,K,-,514.30,-,-,-,-,486.00,-,,,,
460,Ramiz Ahmed,FA,K,-,515.70,-,-,-,-,-,628.90,,,,
461,Jalen Jackson,FA,RB,-,516.70,-,-,-,-,-,-,,,,
462,Jackson Meeks,DET,WR,-,518.50,-,-,-,-,-,-,,,,
463,Nathan Rourke,FA,QB,-,519.60,169.94,-,-,-,-,-,,,,
464,Chris Collier,LV,RB,-,520.00,170.00,-,-,-,-,-,,0.00,,
465,Temuchin Hodges,FA,TE,-,521.40,-,-,-,-,-,-,,,,
466,Josh Crockett,FA,WR,-,522.50,-,-,-,-,-,-,,,,
467,Laviska Shenault,BUF,WR,-,523.00,169.98,-,-,-,-,-,,,,
468,Patrick Ricard,BAL,FB,-,524.40,169.96,-,-,-,-,-,,0.00,,
469,Xavier Johnson,HOU,WR,-,525.50,-,-,-,-,-,-,,,,
470,River Cracraft,WAS,WR,-,526.50,169.99,-,-,-,-,-,,0.00,,
471,Josh Pearson,FA,WR,-,527.00,-,-,-,-,-,-,,,,
472,Ryan Flournoy,DAL,WR,-,527.70,169.99,-,-,-,-,-,,,,
473,Rasheed Williams,FA,RB,-,529.70,-,-,-,-,-,-,,,,
474,Sam Ficken,FA,K,-,530.00,-,-,-,-,-,551.70,,,,
475,Rasheed Bailey,FA,WR,-,531.50,-,-,-,-,-,-,,,,
476,Chad Henne,FA,QB,-,532.60,-,-,-,-,499.50,-,,,,
477,Parker White,FA,K,-,533.10,-,-,-,-,505.00,697.90,,,,
478,John Lunsford,FA,K,-,534.70,-,-,-,-,667.00,-,,,,
479,James McCourt,FA,K,-,535.20,169.99,-,-,-,669.00,-,,0.00,,
480,Alec Holler,FA,TE,-,535.50,-,-,-,-,-,-,,,,
481,Christian Trahan,FA,TE,-,538.00,-,-,-,-,-,-,,,,
482,Cody Chrest,FA,WR,-,540.00,-,-,-,562.30,-,-,,,,
483,Kenny Yeboah,DET,TE,-,541.50,169.99,-,-,404.00,-,-,,0.00,IR,Undisclosed
484,Devonte Boyd,FA,WR,-,542.30,-,-,-,-,-,-,,,,
485,Chevan Cordeiro,FA,QB,-,543.50,-,-,-,-,409.00,-,,,,
486,Eli Wolf,FA,TE,-,545.00,-,-,-,-,-,-,,,,
487,Carlos Washington,ATL,RB,-,546.70,169.98,-,-,569.60,-,-,,0.00,Ques,Hamstring
488,Messiah Swinson,GB,TE,-,547.00,-,-,-,421.10,-,-,,,,
489,Jarveon Howard,FA,RB,-,548.00,-,-,-,-,-,-,,,,
490,Hamze El-Zayat,FA,WR,-,549.20,-,-,-,457.30,-,-,,,Ques,Undisclosed
491,Zander Horvath,FA,FB,-,551.00,170.00,-,-,-,-,-,,,,
492,Brian Johnson,FA,K,-,553.60,-,-,-,473.40,-,598.90,,,,
493,Bryce Love,FA,RB,-,554.80,-,-,-,-,-,667.90,,,Ques,Knee
494,Ainias Smith,PHI,WR,-,556.30,169.96,-,-,-,-,-,,,,
495,Terrell Jennings,NE,RB,-,557.50,169.99,-,-,-,-,-,,0.00,,
496,Tyler Scott,CHI,WR,-,558.50,169.98,-,-,-,-,-,,,,
497,Shane Carden,FA,QB,-,559.20,-,-,-,-,-,-,,,,
498,JJ Molson,FA,K,-,559.80,-,-,-,492.90,-,-,,,,
499,Trent Pennix,FA,RB,-,561.30,-,-,-,-,-,-,,,,
500,Nate McCollum,ARI,WR,-,562.90,-,-,-,-,-,-,,,,
501,Jacolby George,CAR,WR,-,563.00,-,-,-,-,-,-,,,,
502,Byron Pringle,FA,WR,-,564.30,169.98,-,-,395.00,-,-,,,,
503,Elijhah Badger,KC,WR,-,565.30,-,-,-,-,-,-,,,,
504,Nathaniel Peat,FA,RB,-,567.10,-,-,-,-,-,-,,,,
505,Bisi Johnson,FA,WR,-,567.90,-,-,-,-,-,-,,,Ques,Knee - ACL
506,Jordan Waters,LAR,RB,-,572.50,-,-,-,-,-,-,,,,
507,Aaron Dykes,FA,RB,-,573.70,-,-,-,553.00,-,-,,,,
508,Jamaal Pritchett,NYJ,WR,-,574.20,-,-,-,-,-,-,,,,
509,Rushawn Baker,FA,RB,-,575.20,-,-,-,-,-,-,,,Ques,Knee
510,Elijah Young,FA,RB,-,575.30,-,-,-,-,377.00,-,,,,
511,John Brown,FA,WR,-,577.30,-,-,-,-,-,-,,,,
512,Matt Corral,FA,QB,-,578.40,169.98,-,-,-,-,-,,,,
513,Colin Thompson,FA,TE,-,580.00,-,-,-,-,-,-,,,,
514,Devon Bell,FA,P,-,581.50,-,-,-,-,578.00,-,,,,
515,Chad Beebe,FA,WR,-,583.40,-,-,-,-,-,-,,,,
516,Zane Gonzalez,FA,K,"1,419.00",583.60,169.95,-,-,-,-,-,,0.00,,
517,Randy Bullock,FA,K,-,585.80,169.95,-,-,-,-,-,,,,
518,Darren Sproles,FA,RB,-,586.00,-,-,-,-,-,-,,,,
519,Darius Jackson,FA,RB,-,587.40,-,-,-,-,-,-,,,,
520,Rodney Smith,FA,RB,-,588.50,-,-,-,491.80,-,-,,,,
521,Jordan Smallwood,FA,WR,-,589.30,-,-,-,367.00,-,534.10,,,,
522,Sy Barnett,FA,WR,-,591.30,-,-,-,-,-,530.20,,,,
523,De'Quan Hampton,FA,TE,-,591.70,-,-,-,508.80,-,-,,,,
524,Brett Maher,FA,K,-,593.80,169.96,-,-,-,-,689.70,,,,
525,Synjyn Days,FA,RB,-,594.00,-,-,-,-,-,-,,,,
526,Trinity Benson,FA,WR,-,595.00,-,-,-,-,-,-,,,,
527,Artayvious Lynn,FA,TE,-,597.00,-,-,-,-,-,-,,,,
528,Gage Larvadain,CLE,WR,-,598.30,-,-,-,615.10,-,-,,,,
529,Johnathon Johnson,FA,WR,-,599.20,-,-,-,-,-,-,,,,
530,Joshua Cephus,JAX,WR,-,599.60,169.99,-,-,-,524.00,-,,,,
531,Keilan Robinson,PHI,RB,-,601.80,169.98,-,-,-,-,-,,0.00,,
532,Jake Fromm,FA,QB,-,602.00,169.99,-,-,579.60,-,-,,,,
533,Dayton Wade,BAL,WR,-,603.80,-,-,-,-,-,-,,,,
534,Luis Perez,FA,QB,-,604.50,-,-,-,-,-,-,,,,
535,JoJo Natson,FA,WR,-,607.20,-,-,-,-,-,-,,,,
536,Malik Taylor,DET,WR,-,607.60,169.98,-,-,-,509.50,-,,,,
537,Cody Kessler,FA,QB,-,610.30,-,-,-,-,-,-,,,,
538,Mario Williams,LAR,WR,-,611.80,-,-,-,-,-,-,,,,
539,Easton Stick,ATL,QB,-,612.00,169.98,-,-,-,-,-,,,,
540,Jake Heaps,FA,QB,-,613.20,-,-,-,-,-,-,,,,
541,Chad Kelly,FA,QB,-,614.20,-,-,-,641.10,-,-,,,,
542,Mike White,BUF,QB,-,615.10,169.98,-,-,-,571.30,-,,,,
543,Jake Waters,FA,QB,-,615.50,-,-,-,-,-,-,,,,
544,Landon Parker,IND,WR,-,618.00,-,-,-,-,-,-,,,,
545,Ramel Keyton,FA,WR,-,619.00,169.98,-,-,-,-,-,,0.00,,
546,David Martin-Robinson,TEN,TE,-,620.00,169.99,-,-,-,-,-,,0.00,,
547,Ahmani Marshall,CLE,RB,-,622.50,-,-,-,500.30,-,-,,,,
548,Sam Pinckney,FA,WR,-,623.60,-,-,-,-,628.20,-,,,,
549,Geronimo Allison,FA,WR,-,624.00,-,-,-,-,-,-,,,,
550,Damien Caffrey,FA,TE,-,625.60,-,-,-,503.00,-,-,,,,
551,Ben Wooldridge,NE,QB,-,626.90,-,-,-,-,647.00,-,,,,
552,Jalon Calhoun,FA,WR,-,627.50,-,-,-,-,-,-,,,,
553,Blake Sims,FA,RB,-,628.60,-,-,-,-,-,-,,,,
554,Taylor Bertolet,FA,K,-,629.40,-,-,-,-,-,-,,,,
555,Steven Montez,FA,QB,-,631.00,-,-,-,555.40,-,-,,,,
556,Dustin Crum,FA,QB,-,631.30,-,-,-,-,-,-,,,,
557,Braylon Heard,FA,RB,-,633.50,-,-,-,-,-,-,,,,
558,John Lovett,FA,FB,-,634.50,-,-,-,-,-,-,,,Ques,Undisclosed
559,Gannon Sinclair,FA,TE,-,635.50,-,-,-,-,-,-,,,,
560,Trey Burton,FA,TE,-,636.50,-,-,-,549.20,-,-,,,,
561,Anthony Miller,BAL,WR,-,638.30,170.00,-,-,-,396.50,-,,,,
